headline,author,source,date,wordcount,permalink,decade
NWC: It's $10 plus 2-6pc,,Business Times,1 June 1983,262,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19830601-1.2.4.aspx,80
NWC: No equal pay for unequal work,Rav Dhaliwal,Straits Times,1 June 1983,442,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830601-1.2.4.aspx,80
696 in National Day awards list,,Straits Times,9 August 1983,1068,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830809-1.2.30.aspx,80
"Politics, economics and quality of life",,Straits Times,27 August 1983,1228,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830827-1.2.75.1.aspx,80
A'dry' subject is made human,,Straits Times,24 September 1983,879,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830924-1.2.137.24.1.aspx,80
view from other side,,Business Times,6 January 1984,1676,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19840106-1.2.20.aspx,80
Japan's study in contrasts,,Business Times,7 January 1984,1620,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19840107-1.2.19.aspx,80
A professor's labour of love,Lim Chong Yah,Sunday Monitor,15 January 1984,408,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/singmonitor19840115-1.2.21.16.aspx,80
Prof points way to miracle Asia's goal,,Straits Times,21 January 1984,377,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19840121-1.2.21.36.aspx,80
Japan: Land of contrasts,Zhou Mei,Straits Times,25 January 1984,1674,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19840125-1.2.86.2.aspx,80
How aid can be harmful,Vikram Khanna,Straits Times,24 April 1984,1365,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19840424-1.2.33.1.aspx ,80
The NWC in transition: A higher profile?,Zhou Mei,Business Times,25 May 1984,3083,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19840525-1.2.20.2.aspx,80
Accepting what one has done,Zhou Mei,Business Times,9 July 1984,1669,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19840709-1.2.20.1.aspx,80
34 titles,Mukul Asher and Anne Booth,Straits Times,30 August 1984,1041,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19840830-1.2.84.3.aspx,80
A vintage-car model for Singapore?,,Straits Times,30 September 1984,821,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19840930-1.2.33.4.2.aspx ,80
